#M	#F	#H	%M	%F	%H
0	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
0	0	1	0	0	100
1.695538055	6.034120738	1	19.42272997	69.12206858	11.45520144
5.49553805	21.78412073	1	19.43283012	77.03105932	3.536110559
7.593041024	30.22407319	12.27034121	15.15956632	60.34260063	24.49783305
8.740173184	34.21409811	25.72034122	12.72693484	49.82059142	37.45247375
9.717527166	36.99955697	57.18288583	9.352771872	35.61074847	55.03647965
11.04039149	42.780964	92.04572871	7.568802481	29.32873049	63.10246703
11.63173765	50.96125247	129.2829158	6.062114776	26.55948501	67.37840022
12.21204854	56.76436128	160.1786445	5.329163947	24.77115831	69.89967774
13.47458067	70.27790082	192.4070098	4.879274871	25.44830181	69.67242332
21.9855952	140.4886562	214.0235901	5.839500995	37.31459804	56.84590097
66.31237369	390.3895121	324.7934503	8.485319185	49.95417044	41.56051038
172.7886038	833.6869232	676.9588194	10.26405361	49.52298407	40.21296232
345.1389739	1439.290062	1374.635254	10.92535454	45.56064487	43.51400059
604.7605251	2368.7112	2552.976865	10.94302273	42.86136316	46.19561412
936.9977969	3572.595184	4541.083573	10.35279287	39.47323896	50.17396817
1319.3936	4985.487802	7305.747219	9.69384763	36.62937209	53.67678028
1719.272982	6504.134233	11319.31413	8.7975106	33.28161989	57.92086951
2142.488788	8237.961399	16609.83663	7.937999333	30.52194833	61.54005233
2783.28632	11294.16024	23373.82417	7.431754025	30.156948	62.41129797
4463.038838	19377.06536	31978.50187	7.995611414	34.71434836	57.29004022
8386.549076	37240.1811	46105.43606	9.14242999	40.59664415	50.26092586
15848.80136	69038.97389	72214.80199	10.08818673	43.94515679	45.96665648
28658.06669	121682.7979	121507.2934	10.54193889	44.76131044	44.69675067
49006.27855	203106.3712	212896.7125	10.53877245	43.6779101	45.78331745
78988.49357	320099.1645	370134.1652	10.26862359	41.61337534	48.11800108
121128.2151	482830.3347	620142.0746	9.89528252	39.44368013	50.66103735
177667.6799	702186.6058	1000821.383	9.447013265	37.33693254	53.21605419
252887.8872	1004138.797	1548286.988	9.014602883	35.79417185	55.19122526
361619.9002	1467629.167	2322589.24	8.709874361	35.34889989	55.94122574
542915.4515	2268909.131	3444511.281	8.677850157	36.26578209	55.05636775
867367.561	3694280.163	5170352.941	8.912530844	37.96013061	53.12733855
1453260.066	6208194.314	7958697.038	9.303751465	39.74477678	50.95147175
2481222.055	10513565.35	12659415.69	9.671795478	40.98184344	49.34636108
4193293.006	17523970.05	20661642.01	9.894764861	41.35069092	48.75454422
6899115.133	28422273.41	34071687.01	9.942080068	40.95837111	49.09954882
10987715.47	44733533.14	55990983.74	9.835731715	40.04354062	50.12072766
16960324.4	68529145.62	90724870.88	9.6248264	38.88965295	51.48552066
25633012.51	103451774.3	144040354.1	9.38507983	37.87706028	52.73785989
38569576.74	156582691.9	224432834.7	9.192313176	37.31845832	53.48922851
58737009.65	240953851.5	345436094.4	9.104721039	37.34983471	53.54544426
91491759.32	379329680.9	530144251.1	9.140349176	37.89637189	52.96327893
146096725.5	610050922	819052905.2	9.274801567	38.72846038	51.99673805
237457731	993207509.3	1282906829	9.447022979	39.51378683	51.03919019
388248269	1618583601	2039087418	9.596045828	40.00533589	50.39861828
631519281.4	2616460086	3276012386	9.679952172	40.10520223	50.2148456
1013889582	4171615075	5284393299	9.683853522	39.8438943	50.47225218
1601785924	6553769181	8497413635	9.618620855	39.35495997	51.02641918
2495841814	10184464921	13555276887	9.513193417	38.81928097	51.66752561
3858661445	15756852470	21419244664	9.403397457	38.39879413	52.19780841
5964550947	24441962253	33569663228	9.323081309	38.2047875	52.47213119
9283685670	38230327591	52369020372	9.294557175	38.27509658	52.43034624
14610858099	60439781487	81692207099	9.321546985	38.559834	52.11861902
23248361338	96425973332	1.27952E+11	9.388477019	38.94007933	51.67144365
37262080312	1.54586E+11	2.01691E+11	9.468440731	39.28100302	51.25055625
59827775149	2.47737E+11	3.19987E+11	9.533526455	39.47669721	50.98977633
95725135646	3.95152E+11	5.09881E+11	9.565260526	39.48528216	50.94945731
1.52131E+11	6.2599E+11	8.13371E+11	9.559040902	39.33352468	51.10743442
2.3998E+11	9.85178E+11	1.29497E+12	9.522556917	39.09243557	51.38500752
3.76334E+11	1.54359E+12	2.05358E+12	9.471093627	38.84714549	51.68176089
5.88525E+11	2.41554E+12	3.24205E+12	9.422255274	38.67274233	51.90500239
9.2113E+11	3.78765E+12	5.10019E+12	9.39069402	38.61414914	51.99515684
1.44718E+12	5.96434E+12	8.00996E+12	9.384161969	38.6755391	51.94029893
2.28548E+12	9.43755E+12	1.2586E+13	9.401757008	38.82319633	51.77504666
3.62659E+12	1.49906E+13	1.98208E+13	9.434898533	38.99942311	51.56567836
5.77093E+12	2.38516E+13	3.13107E+13	9.470915094	39.14380163	51.38528327
9.18554E+12	3.7925E+13	4.95999E+13	9.497979995	39.21496982	51.28705019
1.45914E+13	6.01543E+13	7.87043E+13	9.508873742	39.20124401	51.28988225
2.31022E+13	9.51046E+13	1.2491E+14	9.502508632	39.11894841	51.37854296
3.64523E+13	1.49922E+14	1.98012E+14	9.483250378	39.00291529	51.51383433
5.73751E+13	2.3592E+14	3.13286E+14	9.458770835	38.89339432	51.64783485
9.02265E+13	3.71175E+14	4.94661E+14	9.437303093	38.82329988	51.73939703
1.41997E+14	5.84694E+14	7.79886E+14	9.42514471	38.80945094	51.76540435
2.23918E+14	9.22981E+14	1.22891E+15	9.424942825	38.84919712	51.72586006
3.53959E+14	1.46019E+15	1.93732E+15	9.435228697	38.92311913	51.64165217
5.60658E+14	2.31369E+15	3.05769E+15	9.451366097	39.00327477	51.54535913
8.88987E+14	3.66803E+15	4.83289E+15	9.467474831	39.06352914	51.46899603
1.4094E+15	5.81213E+15	7.64793E+15	9.478498813	39.08768855	51.43381263
2.23201E+15	9.19792E+15	1.21E+16	9.481699642	39.07319372	51.44510664
3.52912E+15	1.45E+16	1.92E+16	9.477160802	39.02988111	51.49295809
5.57151E+15	2.29E+16	3.03E+16	9.467337749	38.97508386	51.55757839
8.78711E+15	3.62E+16	4.80E+16	9.455977773	38.92731022	51.616712
1.39E+16	5.71E+16	7.58E+16	9.446817101	38.90051107	51.65267183
2.19E+16	9.01E+16	1.20E+17	9.442432863	38.90034083	51.6572263
3.45E+16	1.42E+17	1.89E+17	9.443579028	38.92338323	51.63303775
5.46E+16	2.25E+17	2.98E+17	9.449171449	38.95935757	51.59147098
8.63E+16	3.56E+17	4.71E+17	9.456862904	38.99524803	51.54788907
1.37E+17	5.64E+17	7.44E+17	9.463956731	39.01979821	51.51624505
2.16E+17	8.92E+17	1.18E+18	9.468312346	39.0268535	51.50483416
3.42E+17	1.41E+18	1.86E+18	9.468940208	39.01657891	51.51448089
5.41E+17	2.23E+18	2.94E+18	9.466147266	38.99451119	51.53934154
